text,language,label,label_num,clean_text
LaPBours ki mega lanjas ki VPN on chasthe ne kanipisthadhi emo,Tenglish,abusive,0,lapbours ki mega lanjas ki vpn on chasthe ne kanipisthadhi emo
Me moggaki dandam ayya guruji ,Tenglish,abusive,0,me moggaki dandam ayya guruji
mundu ga Devara album meeda yedchina mega lanja koduku lani gurthu chesukundam,Tenglish,abusive,0,mundu ga devara album meeda yedchina mega lanja koduku lani gurthu chesukundam
"Varey kojja adhi surya reject chesadu,,kojja naa kodaka",Tenglish,abusive,0,varey kojja adhi surya reject chesadukojja naa kodaka
Success ante anthe ra gudda kinda thatha fanbase nanna fanbase,Tenglish,abusive,0,success ante anthe ra gudda kinda thatha fanbase nanna fanbase
Rey chekka neeki ikkadem panira Dhengei  nee akka,Tenglish,abusive,0,rey chekka neeki ikkadem panira dhengei nee akka
Gedhe gonthu eskuni constipation tho matladesthaadu potti akram gadu,Tenglish,abusive,0,gedhe gonthu eskuni constipation tho matladesthaadu potti akram gadu
Iddaru erripukulu. Ee konda gadne bharichadam kashtam. Ika ee awadham gadu kuda vasthe rakhta kannere,Tenglish,abusive,0,iddaru erripukulu ee konda gadne bharichadam kashtam ika ee awadham gadu kuda vasthe rakhta kannere
"mabbu gadila Awards kosam Thatha modda chikadam, madam mafia lantivi levu ra kojja",Tenglish,abusive,0,mabbu gadila awards kosam thatha modda chikadam madam mafia lantivi levu ra kojja
Gudda lo dammu ledu ani chepachu ga nee kojja puka,Tenglish,abusive,0,gudda lo dammu ledu ani chepachu ga nee kojja puka
Hi ra zoo kukka @Dillu_Sayz,Tenglish,abusive,0,hi ra zoo kukka dillu_sayz
Mari vallandhrni vadhilesi prabhas modda gudusthaventra reach pukaa,Tenglish,abusive,0,mari vallandhrni vadhilesi prabhas modda gudusthaventra reach pukaa
Ala avvali ante liger la undakudadu ani koruko....tarwatha enni tiger -lu vacchina laabham undadu....chillara na kodaka,Tenglish,abusive,0,ala avvali ante liger la undakudadu ani korukotarwatha enni tiger lu vacchina laabham undaduchillara na kodaka
Ee chillara attention LK mali vachadraaa,Tenglish,abusive,0,ee chillara attention lk mali vachadraaa
Velli buddodi mg porn kojjalara,Tenglish,abusive,0,velli buddodi mg porn kojjalara
ptm lanjakodkulara ma athul pikandi ochi,Tenglish,abusive,0,ptm lanjakodkulara ma athul pikandi ochi
Nee Amma kuda inthe naluguru tirigi kani ninnu bajar lo vadilesindi laa undi urakukka la vagutane unnav,Tenglish,abusive,0,nee amma kuda inthe naluguru tirigi kani ninnu bajar lo vadilesindi laa undi urakukka la vagutane unnav
Voice ichina vaadike dhikku ledhu ra pilla konda lk,Tenglish,abusive,0,voice ichina vaadike dhikku ledhu ra pilla konda lk
support cheste day1 legustaya ne chiiii eripuka ,Tenglish,abusive,0,support cheste day1 legustaya ne chiiii eripuka
e erripuku gadu rashmika langa lepadamiki thappa dheniku paniki radu antav,Tenglish,abusive,0,e erripuku gadu rashmika langa lepadamiki thappa dheniku paniki radu antav
Liger ki deactivate cheskunta anna kojja gadvi nuvve kadra ?,Tenglish,abusive,0,liger ki deactivate cheskunta anna kojja gadvi nuvve kadra
Prathi movie ochi thengulu tintav idi kuda same ,Tenglish,abusive,0,prathi movie ochi thengulu tintav idi kuda same
Ok mg gudavanidhi  meeku nidhra pattadha,Tenglish,abusive,0,ok mg gudavanidhi meeku nidhra pattadha
E Puk Lo Face ki Elevation Bokka😅,Tenglish,abusive,0,e puk lo face ki elevation bokka
Mi amma ni okkaru dengite puttaledu ra nuvvu urlo unde aids gallu dengute puttinava,Tenglish,abusive,0,mi amma ni okkaru dengite puttaledu ra nuvvu urlo unde aids gallu dengute puttinava
ni pellaam denga ni akka ni minga ni chelli ni 49° lo minga,Tenglish,abusive,0,ni pellaam denga ni akka ni minga ni chelli ni 49 lo minga
Ne amma puku lona ra kondalanzakodka ra vucha postha lanzakodka,Tenglish,abusive,0,ne amma puku lona ra kondalanzakodka ra vucha postha lanzakodka
Gudda kindaki 31 years inka debut ivvala,Tenglish,abusive,0,gudda kindaki 31 years inka debut ivvala
Adoka erripuk louda baavi...thu,Tenglish,abusive,0,adoka erripuk louda baavithu
Chow chow ani ariche batch ... Kukka la Bow Bow kante yekkuva duty chesthunnaru,Tenglish,abusive,0,chow chow ani ariche batch kukka la bow bow kante yekkuva duty chesthunnaru
Repu choker gadini kukkani kottinattu kodatham,Tenglish,abusive,0,repu choker gadini kukkani kottinattu kodatham
Arey lamjakodukulara mee amma poyi ee kunti lamdikoduku,Tenglish,abusive,0,arey lamjakodukulara mee amma poyi ee kunti lamdikoduku
Ni gurinchi nuvvu dengu ra vala sangathi niku endhuku,Tenglish,abusive,0,ni gurinchi nuvvu dengu ra vala sangathi niku endhuku
@SKNonline Edu Erripuku edemaina chepthadu,Tenglish,abusive,0,sknonline edu erripuku edemaina chepthadu
Erri puku @SKNonline kojja puku @SKNonline,Tenglish,abusive,0,erri puku sknonline kojja puku sknonline
Ilaa matladi thandel ni gudipiyandra me yerripuku LNK,Tenglish,abusive,0,ilaa matladi thandel ni gudipiyandra me yerripuku lnk
Ara mega kukka akhanda nizam lo BE avaleda ,Tenglish,abusive,0,ara mega kukka akhanda nizam lo be avaleda
Ni amma puku ra AAth lanjakodaka,Tenglish,abusive,0,ni amma puku ra aath lanjakodaka
Paapam ticket hikes kosam kallu pattukunnadu puggadu malli attitude,Tenglish,abusive,0,paapam ticket hikes kosam kallu pattukunnadu puggadu malli attitude
Great @alluarjun anna Ee Pawala kukka ki idhey akkuva,Tenglish,abusive,0,great alluarjun anna ee pawala kukka ki idhey akkuva
Yera AAthu gaadidhi antha rucha lanjakodaka ....Velli vaadi madda cheeku baaga,Tenglish,abusive,0,yera aathu gaadidhi antha rucha lanjakodaka velli vaadi madda cheeku baaga
Mega kukay ga nachkunda Ela vutadhi,Tenglish,abusive,0,mega kukay ga nachkunda ela vutadhi
ICon haa picchakayala Ilaantivi chesthey ni kuttha pagiluddhi,Tenglish,abusive,0,icon haa picchakayala ilaantivi chesthey ni kuttha pagiluddhi
Asalu nvu vadi guruchi tweet veyala epudu Entha pichi puk* gadivi enti raa,Tenglish,abusive,0,asalu nvu vadi guruchi tweet veyala epudu entha pichi puk gadivi enti raa
Yera delete chy ra kojja... aa AAth gurinchi posting aa siggu leni bathuku,Tenglish,abusive,0,yera delete chy ra kojja aa aath gurinchi posting aa siggu leni bathuku
Aathu pooku,Tenglish,abusive,0,aathu pooku
aathulu,Tenglish,abusive,0,aathulu
aathulu peeku,Tenglish,abusive,0,aathulu peeku
aathulu peekutha,Tenglish,abusive,0,aathulu peekutha
Aati Mokka,Tenglish,abusive,0,aati mokka
Aatu leni mogga,Tenglish,abusive,0,aatu leni mogga
akka bokka lO naa sulla,Tenglish,abusive,0,akka bokka lo naa sulla
akka nee pooku dengutha,Tenglish,abusive,0,akka nee pooku dengutha
amma pooku ki baanisa,Tenglish,abusive,0,amma pooku ki baanisa
amma pooku lo arati pandu,Tenglish,abusive,0,amma pooku lo arati pandu
Aritipandu Mogga,Tenglish,abusive,0,aritipandu mogga
ATTHA POOKU DENGINA ALLDU,Tenglish,abusive,0,attha pooku dengina alldu
bochu,Tenglish,abusive,0,bochu
Bosudi,Tenglish,abusive,0,bosudi
chilipiga thittatam,Tenglish,abusive,0,chilipiga thittatam
Chitthu Pooka,Tenglish,abusive,0,chitthu pooka
cutlet etthi guddha lo pettuko,Tenglish,abusive,0,cutlet etthi guddha lo pettuko
Dengithe dayyalu pudatai,Tenglish,abusive,0,dengithe dayyalu pudatai
Dengu,Tenglish,abusive,0,dengu
Dhani puku lo erugu,Tenglish,abusive,0,dhani puku lo erugu
doola lanja,Tenglish,abusive,0,doola lanja
doola lanjja,Tenglish,abusive,0,doola lanjja
Erri Pooka,Tenglish,abusive,0,erri pooka
Erugu,Tenglish,abusive,0,erugu
Gaadida Pichaloda,Tenglish,abusive,0,gaadida pichaloda
Gaja madda,Tenglish,abusive,0,gaja madda
Gajji Modda,Tenglish,abusive,0,gajji modda
golli cheeku ra kodaka,Tenglish,abusive,0,golli cheeku ra kodaka
golli chekutha lanja,Tenglish,abusive,0,golli chekutha lanja
Gudda,Tenglish,abusive,0,gudda
gudda,Tenglish,abusive,0,gudda
gudda naaku,Tenglish,abusive,0,gudda naaku
guddha cheeku,Tenglish,abusive,0,guddha cheeku
Gudha kindha kovvu pattindha,Tenglish,abusive,0,gudha kindha kovvu pattindha
Hasta Prayogam chai,Tenglish,abusive,0,hasta prayogam chai
kammani pooku,Tenglish,abusive,0,kammani pooku
Kojja,Tenglish,abusive,0,kojja
Kojja Munda,Tenglish,abusive,0,kojja munda
Konamodda,Tenglish,abusive,0,konamodda
KUDDDA CHINCHI PAGAL DENGUTHA,Tenglish,abusive,0,kuddda chinchi pagal dengutha
kukka -pooka,Tenglish,abusive,0,kukka pooka
kukka sulli,Tenglish,abusive,0,kukka sulli
Kutha chimpi para dengutha (KCPD),Tenglish,abusive,0,kutha chimpi para dengutha kcpd
Kuthuru vongudu..alludu dhengudu,Tenglish,abusive,0,kuthuru vongudualludu dhengudu
lanja,Tenglish,abusive,0,lanja
lanja - kodka,Tenglish,abusive,0,lanja kodka
Lanja munda,Tenglish,abusive,0,lanja munda
lanja pooka,Tenglish,abusive,0,lanja pooka
Lanjakodka,Tenglish,abusive,0,lanjakodka
Leki puku,Tenglish,abusive,0,leki puku
malvika,Tenglish,abusive,0,malvika
Marmangam,Tenglish,abusive,0,marmangam
Modda,Tenglish,abusive,0,modda
modda cheeku lanja,Tenglish,abusive,0,modda cheeku lanja
MODDA KUDUVU,Tenglish,abusive,0,modda kuduvu
modda naaku,Tenglish,abusive,0,modda naaku
modda notlo petti dengutha,Tenglish,abusive,0,modda notlo petti dengutha
"modda, lavada, daddu, magatanam",Tenglish,abusive,0,modda lavada daddu magatanam
"muchchika, chanu mona",Tenglish,abusive,0,muchchika chanu mona
muddy lo velu petuko,Tenglish,abusive,0,muddy lo velu petuko
naa modda gudu,Tenglish,abusive,0,naa modda gudu
Ne akka nu denga,Tenglish,abusive,0,ne akka nu denga
ne akkan ma kukka dengha,Tenglish,abusive,0,ne akkan ma kukka dengha
ne amma ni denga,Tenglish,abusive,0,ne amma ni denga
Ne amma pukkulo naa modda,Tenglish,abusive,0,ne amma pukkulo naa modda
ne jathini kukka denga,Tenglish,abusive,0,ne jathini kukka denga
ne mama puku denga,Tenglish,abusive,0,ne mama puku denga
ne notlo naa suli,Tenglish,abusive,0,ne notlo naa suli
Ne pookula na sulli,Tenglish,abusive,0,ne pookula na sulli
Nee aali pookulo Rampam,Tenglish,abusive,0,nee aali pookulo rampam
NEE AKKAANI DENGAA,Tenglish,abusive,0,nee akkaani dengaa
nee akkanu denga,Tenglish,abusive,0,nee akkanu denga
NEE ALINI DENGAA,Tenglish,abusive,0,nee alini dengaa
nee amma guddani denga,Tenglish,abusive,0,nee amma guddani denga
nee amma kuttani denga,Tenglish,abusive,0,nee amma kuttani denga
Nee Amma puku lo sulli,Tenglish,abusive,0,nee amma puku lo sulli
Nee amma roju na modda cheekuthundi,Tenglish,abusive,0,nee amma roju na modda cheekuthundi
NEE AMMANI DENGAA,Tenglish,abusive,0,nee ammani dengaa
nee ammanu denga,Tenglish,abusive,0,nee ammanu denga
nee ammanu dnegu,Tenglish,abusive,0,nee ammanu dnegu
nee kooturu ni denga,Tenglish,abusive,0,nee kooturu ni denga
nee notlo naa sulli,Tenglish,abusive,0,nee notlo naa sulli
nee pallu super,Tenglish,abusive,0,nee pallu super
Nee payal madhyalo na sulli,Tenglish,abusive,0,nee payal madhyalo na sulli
nee pellaanni denga,Tenglish,abusive,0,nee pellaanni denga
nee pooku chekutha,Tenglish,abusive,0,nee pooku chekutha
nee pooku lo na gudda,Tenglish,abusive,0,nee pooku lo na gudda
nee pukulo naa sulli,Tenglish,abusive,0,nee pukulo naa sulli
Ni akkani pandulu denga,Tenglish,abusive,0,ni akkani pandulu denga
Ni gudha la gudu pedtha,Tenglish,abusive,0,ni gudha la gudu pedtha
Ni pukla na madda,Tenglish,abusive,0,ni pukla na madda
nihar,Tenglish,abusive,0,nihar
Nihar (or) banda pooku,Tenglish,abusive,0,nihar or banda pooku
ninnu dengutha,Tenglish,abusive,0,ninnu dengutha
Nuvvu nee yendipoyina sulli,Tenglish,abusive,0,nuvvu nee yendipoyina sulli
Paaki Munda,Tenglish,abusive,0,paaki munda
PEDDA SALLADHI,Tenglish,abusive,0,pedda salladhi
Pichi Pukoda,Tenglish,abusive,0,pichi pukoda
Pichi Pukudaana,Tenglish,abusive,0,pichi pukudaana
Piyya thinnu,Tenglish,abusive,0,piyya thinnu
Poi voungu ra,Tenglish,abusive,0,poi voungu ra
Pooku,Tenglish,abusive,0,pooku
pooku,Tenglish,abusive,0,pooku
Pooku Pagaldenguta,Tenglish,abusive,0,pooku pagaldenguta
"pooku, dimma, pappa, bokka",Tenglish,abusive,0,pooku dimma pappa bokka
Poooku chinchu,Tenglish,abusive,0,poooku chinchu
pucci na kodaka,Tenglish,abusive,0,pucci na kodaka
pukku naaku,Tenglish,abusive,0,pukku naaku
Puku Peka adistha,Tenglish,abusive,0,puku peka adistha
puthhi,Tenglish,abusive,0,puthhi
sachinoda,Tenglish,abusive,0,sachinoda
sallu dengutha,Tenglish,abusive,0,sallu dengutha
SANALO BOCHHO,Tenglish,abusive,0,sanalo bochho
shaata,Tenglish,abusive,0,shaata
Sravan (or) konda verri pooku,Tenglish,abusive,0,sravan or konda verri pooku
sulii,Tenglish,abusive,0,sulii
Sulli pattu,Tenglish,abusive,0,sulli pattu
Teja (or) adivi pooku,Tenglish,abusive,0,teja or adivi pooku
Teja trivikram (or) adivi pooku,Tenglish,abusive,0,teja trivikram or adivi pooku
thurku valagodtha,Tenglish,abusive,0,thurku valagodtha
Vattakai,Tenglish,abusive,0,vattakai
vattalu,Tenglish,abusive,0,vattalu
Vedhava,Tenglish,abusive,0,vedhava
verri puka,Tenglish,abusive,0,verri puka
vongo petti dengutha lanja,Tenglish,abusive,0,vongo petti dengutha lanja
slave to mother's pussy,English,abusive,0,slave to mothers pussy
banana in mommys pussy,English,abusive,0,banana in mommys pussy
Banana Dick,English,abusive,0,banana dick
SON IN LAW WHO FUCKED MOTHER IN LAW,English,abusive,0,son in law who fucked mother in law
"hair, pubic hair",English,abusive,0,hair pubic hair
Bitch,English,abusive,0,bitch
english,English,abusive,0,english
Waste cunt,English,abusive,0,waste cunt
shove a cutlet up your ass,English,abusive,0,shove a cutlet up your ass
Ghosts will born if I fuck you,English,abusive,0,ghosts will born if i fuck you
Fuck,English,abusive,0,fuck
Shit in her pussy,English,abusive,0,shit in her pussy
horny whore,English,abusive,0,horny whore
stupid shit,English,abusive,0,stupid shit
bad shit,English,abusive,0,bad shit
Shit,English,abusive,0,shit
You are a Donkey Dick,English,abusive,0,you are a donkey dick
Elephants dick,English,abusive,0,elephants dick
Infectious Dick,English,abusive,0,infectious dick
suck my clit son,English,abusive,0,suck my clit son
suck your clit whore,English,abusive,0,suck your clit whore
Arse,English,abusive,0,arse
asshole,English,abusive,0,asshole
lick the asshole,English,abusive,0,lick the asshole
suck ass,English,abusive,0,suck ass
Fat ass,English,abusive,0,fat ass
Masturbate,English,abusive,0,masturbate
sweet cunt,English,abusive,0,sweet cunt
Homosexual,English,abusive,0,homosexual
Trans Prostitute,English,abusive,0,trans prostitute
Front ball of the Dick,English,abusive,0,front ball of the dick
KCPD,English,abusive,0,kcpd
bitch's cunt,English,abusive,0,bitchs cunt
Dog's dick,English,abusive,0,dogs dick
I will fucking rip your ass off,English,abusive,0,i will fucking rip your ass off
daughter.bends..son in law fucks,English,abusive,0,daughterbendsson in law fucks
prostitute,English,abusive,0,prostitute
son of a prostitute,English,abusive,0,son of a prostitute
Dirty Bitch,English,abusive,0,dirty bitch
prostitute`s vagina,English,abusive,0,prostitutes vagina
Son of a bitch!,English,abusive,0,son of a bitch
Nasty pussy,English,abusive,0,nasty pussy
whore,English,abusive,0,whore
secret organ,English,abusive,0,secret organ
Dick,English,abusive,0,dick
suck my dick whore,English,abusive,0,suck my dick whore
SUCK MY COCK,English,abusive,0,suck my cock
lick the cock,English,abusive,0,lick the cock
fuck your mouth,English,abusive,0,fuck your mouth
dick,English,abusive,0,dick
nipple,English,abusive,0,nipple
stick your finger in my ass,English,abusive,0,stick your finger in my ass
suck my cock,English,abusive,0,suck my cock
sister fucker,English,abusive,0,sister fucker
my dog fuck ur sister,English,abusive,0,my dog fuck ur sister
fuck your mother,English,abusive,0,fuck your mother
my cock in your mothers cunt,English,abusive,0,my cock in your mothers cunt
dog fuck ur family,English,abusive,0,dog fuck ur family
fuck your grandmother's pussy,English,abusive,0,fuck your grandmothers pussy
my cock in your mouth,English,abusive,0,my cock in your mouth
My dick in your pussy,English,abusive,0,my dick in your pussy
Saw up your wife`s pussy,English,abusive,0,saw up your wifes pussy
I FUCK YUR SISTER,English,abusive,0,i fuck yur sister
fuck your sister,English,abusive,0,fuck your sister
I FUCK YOUR WIFE,English,abusive,0,i fuck your wife
fuck your mother`s ass,English,abusive,0,fuck your mothers ass
May I fuck your mom,English,abusive,0,may i fuck your mom
Dick in your mother's pussy,English,abusive,0,dick in your mothers pussy
Your mom sucks my cock daily,English,abusive,0,your mom sucks my cock daily
I FUCK YOUR MOTHER,English,abusive,0,i fuck your mother
fuck your mother,English,abusive,0,fuck your mother
fuck your mother,English,abusive,0,fuck your mother
fuck your daughter,English,abusive,0,fuck your daughter
my cock in ur mourh,English,abusive,0,my cock in ur mourh
your melons are super!,English,abusive,0,your melons are super
my dick between your boobs,English,abusive,0,my dick between your boobs
fuck your wife,English,abusive,0,fuck your wife
suck your pussy,English,abusive,0,suck your pussy
My cock in your pussy,English,abusive,0,my cock in your pussy
my dick in your vagina,English,abusive,0,my dick in your vagina
May pigs fuck your sister,English,abusive,0,may pigs fuck your sister
I will keep an egg in your ass,English,abusive,0,i will keep an egg in your ass
Go fuck off,English,abusive,0,go fuck off
dick,English,abusive,0,dick
Fat pussy,English,abusive,0,fat pussy
I will fuck you,English,abusive,0,i will fuck you
You and your Dry Dick,English,abusive,0,you and your dry dick
Free Prostitute,English,abusive,0,free prostitute
WOMAN WITH BIG BOOBS,English,abusive,0,woman with big boobs
Guy with Crazy Vagina,English,abusive,0,guy with crazy vagina
Girl with Crazy Vagina,English,abusive,0,girl with crazy vagina
Shit eater,English,abusive,0,shit eater
Go and get fucked,English,abusive,0,go and get fucked
Vagina,English,abusive,0,vagina
pussy,English,abusive,0,pussy
I will Smash your pussy,English,abusive,0,i will smash your pussy
pussy/cunt,English,abusive,0,pussycunt
rip my cunt,English,abusive,0,rip my cunt
dumb ass bitch,English,abusive,0,dumb ass bitch
lick the cunt,English,abusive,0,lick the cunt
Playing Poker with cunt,English,abusive,0,playing poker with cunt
clitoris,English,abusive,0,clitoris
idiot,English,abusive,0,idiot
fuck your tits,English,abusive,0,fuck your tits
HAIR IN ARM PITS,English,abusive,0,hair in arm pits
pubic hair,English,abusive,0,pubic hair
Mad Hilly pussy,English,abusive,0,mad hilly pussy
dick,English,abusive,0,dick
Hold my dick,English,abusive,0,hold my dick
Wild pussy,English,abusive,0,wild pussy
Wild pussy,English,abusive,0,wild pussy
blast your pussy,English,abusive,0,blast your pussy
single ball/testicle,English,abusive,0,single balltesticle
balls/ testicles,English,abusive,0,balls testicles
Stupid,English,abusive,0,stupid
mad pussy,English,abusive,0,mad pussy
will fuck you bending,English,abusive,0,will fuck you bending
Youre all corrupt pieces of trash.,English,abusive,0,youre all corrupt pieces of trash
Politicians like you ruin this country.,English,abusive,0,politicians like you ruin this country
You’re a liar and a hypocrite.,English,abusive,0,youre a liar and a hypocrite
Go shove your manifesto up your ass.,English,abusive,0,go shove your manifesto up your ass
No one gives a damn about your fake promises.,English,abusive,0,no one gives a damn about your fake promises
Youre just another greedy bastard in power.,English,abusive,0,youre just another greedy bastard in power
Stop sucking up to the rich.,English,abusive,0,stop sucking up to the rich
You dont give a f*** about the people.,English,abusive,0,you dont give a f about the people
